Mods count: 209
 
                               jar name                                 | notes |             mod id             |             mod name             |         mod version          |                                                                                                                                                                                                                                        mixin configs                                                                                                                                                                                                                                         |              modrinth hash               | curseforge hash
chloride-FORGE-mc1.20.1-v1.7.7.jar                                      |       | chloride                       | Chloride                         | 1.7.7                        | chloride.mixin.json, chloride.mixin-refmap.json                                                                                                                                                                                                                                                                                                                                                                                                                                              | eb11150bf4029b812f78cf4a3d155b535243d604 | 3511116092     
classicbar-1.20.1-4.jar                                                 |       | classicbar                     | Classic Bar                      | 1.20.1-4                     |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 7f7c247cdafddf0472eda531b281dd9bcfbd7f60 | 1954028609     
clearvoid-forge-1.3.0.jar                                               |       | clearvoid                      | Clear Void                       | 1.3.0                        | clearvoid.mixins.json, clearvoid-common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                          | 13364f08d46fa97a633a24d192e42685d0695855 | 3778089202     
cloth-config-11.1.136-forge.jar                                         |       | cloth_config                   | Cloth Config v10 API             | 11.1.136                     |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | c65d07748acc57ceb45d53b3964368b84f34d54f | 635589968      
Clumps-forge-1.20.1-12.0.0.4.jar                                        |       | clumps                         | Clumps                           | 12.0.0.4                     | clumps.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 97cc669f68dbe812cb77cc3631339334fc28b877 | 1243520454     
CodeChickenLib-1.20.1-4.4.0.516-universal.jar                           |       | codechickenlib                 | CodeChicken Lib                  | 4.4.0.516                    | mixins.codechickenlib.refmap.json, mixins.codechickenlib.json                                                                                                                                                                                                                                                                                                                                                                                                                                | f9b90ff58442b5967366fd90d24980a34540518d | 1091903728     
cofh_core-1.20.1-11.0.2.56.jar                                          |       | cofh_core                      | CoFH Core                        | 11.0.2                       | mixins.cofhcore.json, mixins.cofhcore.refmap.json                                                                                                                                                                                                                                                                                                                                                                                                                                            | 6f7c0056fece31bf393df450d79482810ed444af | 3041669468     
colorwheel-forge-1.2.8+mc1.20.1.jar                                     |       | colorwheel                     | Colorwheel                       | 1.2.8+mc1.20.1               | colorwheel.mixins.json, colorwheel.forge.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                         | 247171e64993fb094d471899b3ed2330f8475687 | 723010713      
ColossalChests-1.20.1-1.8.7.jar                                         |       | colossalchests                 | ColossalChests                   | 1.8.7                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 24680641388ba52fb7a878c36052ac228e9124ee | 3002999108     
configuration-forge-1.20.1-3.1.0.jar                                    |       | configuration                  | Configuration                    | 3.1.0                        | configuration.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | 8757a9f1d47f48463765d1d202cdadc41c84f6b0 | 3130708032     
configured-forge-1.20.1-2.2.3.jar                                       |       | configured                     | Configured                       | 2.2.3                        | configured.common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                | 065c2d287a52f52fc8d33d780192325ee6f4b6ae | 3251861014     
Controlling-forge-1.20.1-12.0.2.jar                                     |       | controlling                    | Controlling                      | 12.0.2                       | controlling.mixins.json, controlling.forge.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                       | f6d3cdd3ec68c5590cf5b2e89c38dbf031824bfd | 2144346557     
cookingforblockheads-forge-1.20.1-16.0.14.jar                           |       | cookingforblockheads           | CookingForBlockheads             | 16.0.14                      | cookingforblockheads.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                             | 9e04a8ec055d2124baeb9ea4c3f52a32d7c19d1b | 3678624810     
copycats-3.0.7+mc.1.20.1-forge.jar                                      |       | copycats                       | Create: Copycats+                | 3.0.7+mc.1.20.1-forge        | copycats-common.mixins.json, copycats-forge.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                      | 5d0f497695fc2ee4ef89f1898458882b9d2d3aad | 3504964036     
craftingtweaks-forge-1.20.1-18.2.9.jar                                  |       | craftingtweaks                 | CraftingTweaks                   | 18.2.9                       | craftingtweaks.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | 8f7a85056a753ffb9e9f178d32ccbcce44a29e63 | 1846779623     
CraftPresence-2.7.1+1.20.1-forge.jar                                    |       | craftpresence                  | CraftPresence                    | 2.7.1                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | c354216e78b6688c9bcbe67043b8f5e2156a4dde | 537329888      
